,rating_ratingValue,rating_worstRating,rating_bestRating,rating_alternateName,creativeWork_author_name,creativeWork_datePublished,creativeWork_author_sameAs,claimReview_author_name,claimReview_author_url,claimReview_url,claimReview_claimReviewed,claimReview_datePublished,claimReview_source,claimReview_author,extra_body,extra_refered_links,extra_title,extra_tags,extra_entities_claimReview_claimReviewed,extra_entities_body,extra_entities_keywords,extra_entities_author,related_links
0,,,,False,fatabyyano,2020-07-06,,fatabyyano,,https://fatabyyano.net/%d8%ac%d8%a8%d8%a7%d9%84-%d8%af%d8%a7%d9%86%d9%83%d8%b3%d9%8a%d8%a7-%d9%81%d9%8a-%d8%a7%d9%84%d8%b5%d9%8a%d9%86-%d8%b0%d8%a7%d8%aa-%d8%a7%d9%84%d8%a3%d9%84%d9%88%d8%a7%d9%86/,"""جبال دانكسيا في الصين ذات الألوان الزاهية – الصورة معدلة بالفوتوشوب وليست حقيقية""",2020-07-06,fatabyyano,,,,"""جبال دانكسيا في الصين ذات الألوان الزاهية – الصورة معدلة بالفوتوشوب وليست حقيقية""",,,,,,
1,,,,False,fatabyyano,2016-11-15,,fatabyyano,,https://fatabyyano.net/myth-unesco/,"""(إشاعة) اليونسكو :الإسلام الدين الأكثر سلمية في العالم!""",2016-11-15,fatabyyano,,,,"""(إشاعة) اليونسكو :الإسلام الدين الأكثر سلمية في العالم!""",,,,,,
2,,,,False,fatabyyano,2021-07-21,,fatabyyano,,https://fatabyyano.net/%d9%87%d8%b0%d8%a7-%d9%85%d8%b4%d9%87%d8%af-%d8%aa%d9%85%d8%ab%d9%8a%d9%84%d9%8a-%d9%88%d9%84%d9%8a%d8%b3-%d8%ad%d9%82%d9%8a%d9%82%d9%8a%d8%a7/,"""هذا المقطع المتداول ليس حقيقيا بل هو مشهد تمثيلي صُور في موقع مستشفى الحسين بالناصرية""",2021-07-21,fatabyyano,,,,"""هذا المقطع المتداول ليس حقيقيا بل هو مشهد تمثيلي صُور في موقع مستشفى الحسين بالناصرية""",,,,,,
3,,,,False,fatabyyano,2021-07-19,,fatabyyano,,https://fatabyyano.net/%d9%87%d8%b0%d9%87-%d8%a7%d9%84%d8%b5%d9%88%d8%b1%d8%a9-%d8%aa%d8%b9%d9%88%d8%af-%d8%a5%d9%84%d9%89-%d9%81%d9%8a%d8%b6%d8%a7%d9%86%d8%a7%d8%aa-%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a%d8%a7-%d9%88%d9%84/,"""هذه الصورة تعود إلى فيضانات ألمانيا وليس هولندا ولا تعود إلى الفيضانات الأخيرة""",2021-07-19,fatabyyano,,,,"""هذه الصورة تعود إلى فيضانات ألمانيا وليس هولندا ولا تعود إلى الفيضانات الأخيرة""",,,,,,
4,,,,False,fatabyyano,2021-07-19,,fatabyyano,,https://fatabyyano.net/%d9%87%d8%b0%d8%a7-%d8%ad%d8%a7%d8%af%d8%ab-%d8%a5%d8%b7%d9%84%d8%a7%d9%82-%d9%86%d8%a7%d8%b1-%d9%88%d9%82%d8%b9-%d9%81%d9%8a-%d8%a7%d9%84%d8%b3%d9%88%d9%8a%d8%af%d8%8c-%d9%88%d9%84%d9%8a%d8%b3-%d8%b9/,"""هذا حادث إطلاق نار وقع في السويد، وليس عملية تصفية مهرب في لبنان""",2021-07-19,fatabyyano,,,,"""هذا حادث إطلاق نار وقع في السويد، وليس عملية تصفية مهرب في لبنان""",,,,,,
5,,,,False,fatabyyano,2021-07-19,,fatabyyano,,https://fatabyyano.net/%d9%87%d8%b0%d9%87-%d8%a7%d9%84%d8%b5%d9%88%d8%b1%d8%a9-%d9%84%d8%a7-%d8%b9%d9%84%d8%a7%d9%82%d8%a9-%d9%84%d9%87%d8%a7-%d8%a8%d8%a7%d9%84%d8%ac%d8%b2%d8%a7%d8%a6%d8%b1-%d8%a8%d9%84-%d8%aa%d8%b9%d9%88/,"""هذه الصورة لا علاقة لها بالجزائر بل تعود إلى الفيلم الوثائقي “أموسّو” الذي صُور في المغرب""",2021-07-19,fatabyyano,,,,"""هذه الصورة لا علاقة لها بالجزائر بل تعود إلى الفيلم الوثائقي “أموسّو” الذي صُور في المغرب""",,,,,,
6,,,,False,fatabyyano,2021-07-18,,fatabyyano,,https://fatabyyano.net/%d9%87%d8%b0%d9%87-%d8%a7%d9%84%d8%b5%d9%88%d8%b1%d8%a9-%d8%aa%d8%b9%d9%88%d8%af-%d9%84%d9%82%d8%a7%d9%84%d8%a8-%d8%ad%d9%84%d9%88%d9%89-%d8%a3%d9%8f%d8%b9%d8%af-%d9%81%d9%8a-%d8%aa%d8%b5%d9%88%d9%8a/,"""هذه الصورة تعود لقالب حلوى أُعد في تصوير أغنية وليس حفل طلاق""",2021-07-18,fatabyyano,,,,"""هذه الصورة تعود لقالب حلوى أُعد في تصوير أغنية وليس حفل طلاق""",,,,,,
7,,,,False,fatabyyano,2021-07-18,,fatabyyano,,https://fatabyyano.net/%d8%a7%d9%84%d8%b5%d9%88%d8%b1%d8%a9-%d9%84%d8%a7-%d8%aa%d8%b9%d9%88%d8%af-%d8%a5%d9%84%d9%89-%d8%a7%d9%84%d9%85%d8%a7%d9%81%d9%8a%d8%a7-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a%d8%a9/,"""هذه الصورة لا تعود إلى المافيا الإيطالية بل التقطت من أمام مقر BMW في ألمانيا""",2021-07-18,fatabyyano,,,,"""هذه الصورة لا تعود إلى المافيا الإيطالية بل التقطت من أمام مقر BMW في ألمانيا""",,,,,,
8,,,,False,fatabyyano,2021-07-17,,fatabyyano,,https://fatabyyano.net/%d8%a7%d9%84%d8%b5%d9%88%d8%b1%d8%a9-%d9%82%d8%af%d9%8a%d9%85%d8%a9-%d9%85%d9%86-%d9%88%d9%84%d8%a7%d9%8a%d8%a9-%d9%86%d9%8a%d9%88-%d8%ac%d9%8a%d8%b1%d8%b3%d9%8a-%d8%a7%d9%84%d8%a3%d9%85%d8%b1%d9%8a/,"""الصورة قديمة من ولاية نيو جيرسي الأمريكية وليست من غابات خنشلة الجزائرية بعد الحريق الأخير""",2021-07-17,fatabyyano,,,,"""الصورة قديمة من ولاية نيو جيرسي الأمريكية وليست من غابات خنشلة الجزائرية بعد الحريق الأخير""",,,,,,
9,,,,False,fatabyyano,2021-07-17,,fatabyyano,,https://fatabyyano.net/%d9%87%d8%b0%d8%a7-%d8%a7%d9%84%d9%85%d9%82%d8%b7%d8%b9-%d9%8a%d8%b8%d9%87%d8%b1-%d8%a3%d8%ad%d8%af-%d8%a7%d9%84%d9%86%d8%a7%d8%ac%d9%8a%d9%86-%d9%85%d9%86-%d8%a7%d9%86%d9%81%d8%ac%d8%a7%d8%b1-%d8%a7/,"""هذا المقطع يظهر أحد الناجين من انفجار الكرادة عام 2016، وليس من حريق مستشفى الحسين""",2021-07-17,fatabyyano,,,,"""هذا المقطع يظهر أحد الناجين من انفجار الكرادة عام 2016، وليس من حريق مستشفى الحسين""",,,,,,
